frame,track_id,class,cx,cy,w,h,depth
114,-1,1,439,169,103,49,24.989
115,-1,0,1009,150,172,111,10.738
115,-1,1,443,169,97,49,24.872
116,-1,0,1017,149,163,110,10.717
116,-1,1,447,169,96,49,24.530
117,-1,0,1031,146,156,113,10.760
117,-1,1,451,169,80,49,24.197
118,-1,0,1036,146,167,112,10.781
118,-1,1,452,169,80,49,24.989
119,-1,0,1042,146,182,111,10.869
119,-1,1,483,169,60,49,24.418
120,-1,0,1043,147,181,108,10.891
120,-1,1,491,170,40,48,24.197
121,-1,0,1045,147,179,107,11.049
121,-1,1,497,171,40,47,25.106
122,-1,0,1059,152,165,100,11.141
122,-1,1,505,172,38,46,23.352
123,-1,1,1077,145,147,106,11.003
124,-1,0,1073,151,114,98,11.026
125,-1,0,1080,152,91,96,11.049
126,-1,0,1085,150,91,96,11.211
127,-1,1,1094,146,90,99,11.141
128,-1,0,1100,140,87,104,11.141
129,-1,0,1103,139,112,106,11.234
130,-1,0,1110,146,104,98,11.282
131,-1,0,1118,146,93,96,11.402
132,-1,0,1121,146,98,98,11.378
133,-1,1,1131,144,93,100,11.402
134,-1,0,1138,137,86,107,11.451
135,-1,2,1144,138,80,105,11.525
136,-1,2,1150,138,74,105,11.550
136,-1,1,787,180,42,41,4.178
137,-1,2,1155,145,69,95,11.963
137,-1,1,787,178,64,44,4.178
138,-1,2,1160,144,64,86,11.600
138,-1,1,791,175,75,47,4.178
138,-1,2,1196,187,28,53,11.575
139,-1,2,1165,143,59,93,11.753
139,-1,1,787,164,101,58,4.178
140,-1,0,1170,144,54,96,11.753
140,-1,1,792,163,115,59,4.178
141,-1,2,1175,137,49,99,11.910
141,-1,1,787,163,135,58,4.178
142,-1,2,1178,144,46,92,11.857
142,-1,1,787,162,140,59,4.178
144,-1,2,1196,135,28,98,15.915
144,-1,1,813,161,156,59,20.104
145,-1,1,831,161,154,58,19.954
146,-1,1,850,159,134,60,19.733
147,-1,1,868,160,117,58,19.446
147,-1,1,1002,178,37,40,8.766
148,-1,1,888,161,82,55,19.806
148,-1,0,1001,174,39,44,8.738
149,-1,1,907,160,63,56,19.954
149,-1,1,1002,167,78,51,8.766
150,-1,1,1002,160,84,56,21.053
150,-1,1,927,164,53,50,20.411
151,-1,1,945,166,40,47,20.568
153,-1,1,999,155,145,59,20.808
154,-1,1,1006,155,158,59,20.727
155,-1,1,1025,154,192,58,20.971
156,-1,1,1045,153,179,59,21.053
157,-1,1,1065,152,153,58,21.563
158,-1,1,1086,151,128,59,21.738
159,-1,1,1106,150,118,59,22.189
160,-1,1,1127,149,97,58,22.097
161,-1,1,1148,149,76,57,22.469
162,-1,1,1170,151,54,52,23.352
213,-1,1,379,167,124,47,29.222
214,-1,1,418,167,74,47,28.145
215,-1,1,421,167,73,48,27.708
216,-1,1,426,167,77,48,26.343
217,-1,1,433,167,85,49,26.086
218,-1,1,439,170,93,46,25.709
219,-1,1,442,167,101,50,27.008
220,-1,1,438,167,105,51,25.586
222,-1,0,493,170,38,47,26.343
230,-1,2,301,55,60,159,29.875
231,-1,2,294,55,62,160,28.444
232,-1,2,787,177,92,40,4.178
233,-1,1,787,166,128,50,4.178
234,-1,1,788,164,143,52,4.178
235,-1,1,282,173,53,44,30.733
236,-1,1,837,162,148,53,21.137
236,-1,1,277,173,52,45,30.911
237,-1,1,864,160,99,54,21.916
237,-1,1,270,173,53,46,12.855
238,-1,1,891,160,65,53,21.738
238,-1,1,274,173,42,48,31.456
239,-1,1,916,160,54,52,21.916
239,-1,1,1006,168,33,45,8.766
239,-1,1,257,173,52,48,28.294
240,-1,1,216,174,85,49,26.473
241,-1,1,198,175,91,50,25.834
242,-1,1,1002,155,109,57,22.097
242,-1,1,185,175,93,59,25.106
243,-1,1,171,149,97,88,23.558
243,-1,0,1025,154,87,55,21.137
243,-1,1,1110,164,37,43,21.738
244,-1,1,153,125,107,114,22.564
244,-1,1,1053,153,73,54,21.827
244,-1,1,332,169,32,48,30.384
245,-1,1,1078,152,78,56,21.137
245,-1,1,321,169,36,51,28.294
245,-1,1,437,171,55,40,30.557
246,-1,1,1104,152,98,56,22.097
246,-1,1,311,169,37,54,27.145
246,-1,1,438,170,59,41,30.384
247,-1,1,1131,157,83,50,22.097
247,-1,1,301,169,40,57,25.709
247,-1,1,446,169,64,42,28.294
248,-1,1,1157,150,67,56,22.469
248,-1,1,451,168,65,45,27.998
248,-1,1,285,170,43,59,12.917
249,-1,1,1184,156,40,46,22.951
249,-1,1,458,168,72,45,27.998
249,-1,1,277,170,38,62,12.886
250,-1,1,464,169,74,45,27.145
251,-1,1,471,169,63,45,27.283
251,-1,1,229,188,44,55,19.446
252,-1,1,482,169,49,44,26.738
252,-1,1,194,173,68,77,17.707
253,-1,1,493,169,50,44,27.283
253,-1,1,171,173,68,83,16.011
254,-1,1,503,169,39,44,25.709
267,-1,0,787,172,55,44,4.178
268,-1,1,787,164,82,53,4.178
269,-1,1,799,163,94,53,4.178
270,-1,1,796,162,135,54,4.178
272,-1,1,834,161,126,55,20.727
273,-1,1,858,160,123,55,20.889
274,-1,1,880,160,89,55,20.889
275,-1,1,902,160,61,54,21.137
276,-1,1,925,159,45,53,21.827
276,-1,1,1005,168,42,46,8.738
277,-1,1,947,160,36,40,22.097
279,-1,1,998,155,143,57,21.305
280,-1,1,1014,154,147,55,22.281
281,-1,1,1036,153,125,56,22.281
282,-1,1,1057,152,103,55,22.375
283,-1,1,1078,151,98,55,22.853
284,-1,1,1101,150,105,55,22.951
285,-1,1,1121,150,95,53,23.558
