frame,track_id,class,cx,cy,w,h,depth
124,-1,2,462,129,460,241,5.857
125,-1,2,506,131,435,239,5.762
126,-1,2,491,133,319,237,5.844
126,-1,2,777,157,182,180,9.705
127,-1,2,554,134,268,236,5.451
127,-1,2,791,159,182,181,9.415
128,-1,2,607,130,224,240,5.369
128,-1,1,798,159,183,186,9.188
129,-1,2,639,126,202,244,5.142
129,-1,2,807,157,177,193,9.064
130,-1,2,643,125,208,245,5.083
131,-1,2,679,129,185,241,4.947
131,-1,2,836,159,194,198,8.597
132,-1,2,660,130,217,240,4.831
132,-1,2,851,159,185,202,8.317
133,-1,2,690,126,343,244,4.509
134,-1,2,238,146,20,41,26.872
134,-1,2,877,157,181,213,8.227
134,-1,2,775,164,134,206,4.412
135,-1,2,892,159,195,211,8.078
135,-1,2,794,160,130,210,4.330
136,-1,2,812,157,130,213,4.204
136,-1,2,911,162,196,208,7.739
137,-1,2,687,123,122,247,4.191
137,-1,2,820,159,141,211,4.098
137,-1,2,936,161,185,209,7.639
138,-1,2,949,159,180,211,7.761
138,-1,2,830,162,151,208,3.929
139,-1,2,967,158,180,212,7.596
139,-1,2,843,161,160,209,3.758
140,-1,2,735,108,106,262,3.678
140,-1,2,866,157,160,213,3.616
140,-1,2,991,160,212,210,6.963
141,-1,2,898,155,149,215,3.481
142,-1,2,907,160,164,210,3.370
143,-1,2,784,112,115,258,3.259
143,-1,2,1118,156,106,214,3.221
144,-1,2,804,106,109,264,2.989
144,-1,2,1156,159,68,211,3.045
