frame,track_id,class,cx,cy,w,h,depth
112,-1,2,827,147,139,184,4.175
112,-1,2,383,155,158,142,15.149
112,-1,2,550,155,35,121,8.972
113,-1,2,827,147,158,186,4.178
113,-1,2,381,155,167,141,15.064
113,-1,2,555,170,28,99,8.795
115,-1,1,173,154,56,75,27.423
115,-1,2,382,157,201,143,10.404
116,-1,2,827,147,176,202,9.300
118,-1,2,827,151,218,201,8.781
119,-1,1,827,146,28,75,4.178
119,-1,0,827,227,24,43,4.178
120,-1,2,800,151,286,213,8.695
120,-1,0,827,158,45,133,4.178
121,-1,2,827,144,63,173,4.178
121,-1,0,813,152,304,218,8.781
122,-1,2,824,144,304,226,8.227
123,-1,2,827,143,308,227,8.448
124,-1,2,827,143,152,204,4.178
124,-1,2,860,145,297,225,8.369
124,-1,1,464,164,57,48,18.504
125,-1,2,891,141,294,229,7.946
125,-1,2,827,142,184,217,4.178
125,-1,1,469,174,59,48,18.127
126,-1,2,766,141,267,223,4.178
126,-1,2,923,147,270,223,7.946
126,-1,1,470,171,60,59,17.591
127,-1,0,632,141,592,229,6.569
127,-1,2,540,173,43,102,18.504
127,-1,1,505,181,24,41,17.766
128,-1,2,662,138,562,232,6.435
128,-1,1,413,272,170,47,8.625
129,-1,1,515,172,68,96,17.591
130,-1,2,715,138,509,232,6.427
130,-1,1,450,169,56,71,30.911
130,-1,1,501,169,56,66,16.353
130,-1,1,469,274,114,48,8.214
131,-1,2,733,137,491,233,5.762
131,-1,1,421,161,138,80,15.728
131,-1,1,472,276,111,48,8.127
132,-1,2,751,137,473,233,5.725
132,-1,1,419,164,144,79,15.235
132,-1,1,483,265,100,72,8.278
133,-1,2,774,150,450,220,5.197
133,-1,1,515,161,54,79,15.591
133,-1,1,420,175,93,70,30.384
133,-1,1,467,277,116,51,8.066
134,-1,1,425,161,150,86,14.691
134,-1,1,464,278,119,50,8.127
135,-1,1,416,160,164,87,14.375
135,-1,1,453,279,130,53,8.078
136,-1,1,416,160,167,89,13.962
136,-1,1,461,278,122,55,7.899
137,-1,1,419,166,164,86,13.854
137,-1,0,465,281,118,54,7.795
138,-1,1,551,169,32,47,25.465
138,-1,1,465,283,118,53,7.739
139,-1,1,418,168,165,88,13.369
140,-1,1,181,154,68,60,22.853
140,-1,1,424,177,159,81,17.195
141,-1,1,189,153,56,61,22.375
142,-1,1,191,155,54,53,22.097
143,-1,1,1054,147,170,223,8.972
143,-1,1,181,154,62,61,22.097
144,-1,1,183,154,58,62,21.650
145,-1,1,180,154,59,62,20.971
145,-1,0,437,175,146,94,16.011
145,-1,1,827,272,24,43,4.178
145,-1,1,1160,307,64,63,5.968
146,-1,2,827,151,29,112,4.178
146,-1,1,179,154,59,62,20.971
146,-1,0,472,169,111,103,15.728
146,-1,2,827,274,49,65,4.178
147,-1,2,827,144,68,197,4.178
147,-1,1,173,154,63,62,20.971
148,-1,2,827,144,62,197,4.178
148,-1,1,168,156,66,60,20.971
148,-1,0,505,232,78,43,11.753
149,-1,2,827,142,76,200,4.178
149,-1,1,171,156,60,60,20.727
149,-1,1,458,233,125,46,10.781
150,-1,2,827,146,98,204,4.178
151,-1,2,827,147,107,206,4.178
151,-1,1,470,235,113,50,10.465
152,-1,2,827,146,120,209,4.178
152,-1,1,174,154,49,56,20.808
153,-1,2,714,142,249,228,4.178
153,-1,2,412,167,21,58,22.097
154,-1,2,827,143,147,219,4.178
154,-1,2,408,167,22,57,21.476
155,-1,2,715,143,274,227,4.178
156,-1,2,725,145,277,225,4.178
156,-1,1,397,168,33,45,18.698
157,-1,2,742,146,299,224,9.670
157,-1,1,390,167,40,62,18.314
158,-1,2,778,145,270,225,9.601
159,-1,2,785,141,266,229,9.172
159,-1,2,379,166,27,70,20.489
160,-1,2,804,141,262,229,9.033
160,-1,1,350,166,49,73,17.362
161,-1,2,827,144,254,226,8.724
161,-1,2,362,167,31,71,16.607
162,-1,2,827,142,286,228,6.945
162,-1,2,355,166,31,78,16.505
163,-1,2,827,145,310,225,6.821
163,-1,0,342,166,37,79,16.711
164,-1,2,808,143,337,227,6.865
165,-1,2,816,141,337,229,6.945
165,-1,0,320,156,41,97,13.269
166,-1,2,826,139,345,231,6.778
167,-1,2,827,141,360,229,6.684
168,-1,2,827,142,397,228,6.659
168,-1,0,196,158,135,110,17.306
169,-1,0,827,142,397,228,6.537
169,-1,1,165,157,156,116,16.454
170,-1,0,827,141,397,229,6.336
170,-1,1,827,199,32,50,4.178
171,-1,2,827,139,397,231,6.427
171,-1,1,827,157,45,92,4.178
172,-1,2,764,138,460,232,5.769
172,-1,0,827,156,98,159,4.178
172,-1,1,97,166,182,125,15.192
173,-1,2,775,141,449,229,5.695
173,-1,0,829,154,114,161,4.178
174,-1,0,792,143,432,227,5.665
174,-1,0,830,153,128,164,4.178
175,-1,0,819,142,405,228,5.582
175,-1,0,827,153,150,171,4.178
177,-1,0,880,143,283,227,7.325
177,-1,1,1125,152,99,218,9.618
177,-1,0,827,154,197,172,7.325
178,-1,2,898,141,278,229,7.111
178,-1,0,827,161,226,168,7.325
179,-1,0,827,140,358,230,7.140
179,-1,2,1200,302,24,62,5.725
180,-1,0,842,142,382,228,7.111
181,-1,0,870,143,354,227,7.083
182,-1,0,898,141,326,229,6.972
183,-1,0,932,141,292,229,6.945
184,-1,1,969,139,255,231,6.812
185,-1,1,1008,144,216,226,6.945
186,-1,1,1008,178,59,63,16.059
187,-1,1,1019,179,65,71,15.915
187,-1,1,1071,269,153,101,6.211
188,-1,1,1101,330,123,40,5.582
189,-1,1,1047,179,66,69,16.107
190,-1,1,1064,182,50,67,20.647
191,-1,1,1080,182,57,65,20.971
192,-1,1,1096,184,75,67,16.205
202,-1,1,1097,295,127,58,6.233
203,-1,1,1069,255,155,95,6.981
204,-1,1,1047,213,177,134,7.448
205,-1,1,1033,147,191,198,10.205
